device_id,data_type,data_value,package_id,location,temperature,status,timestamp,numeric_value
RFID_0,Logistics,"PKG:1064 | LOC:12.422315329212937,121.19571255545216 | TEMP:3.8241911589108772C | STATUS:In Transit | TS:2026-01-01 00:00:00",1064,"12.422315329212937,121.19571255545216",3.8241911589108772,In Transit,2026-01-01 00:00:00,3.824191158910877
RFID_1,Logistics,"PKG:1060 | LOC:13.513377156951517,122.51412936901205 | TEMP:2.9270166180818755C | STATUS:In Transit | TS:2026-01-01 01:00:00",1060,"13.513377156951517,122.51412936901205",2.9270166180818755,In Transit,2026-01-01 01:00:00,2.9270166180818755
RFID_2,Logistics,"PKG:1015 | LOC:14.291035309309276,122.54491741023237 | TEMP:5.4660655602994845C | STATUS:In Transit | TS:2026-01-01 02:00:00",1015,"14.291035309309276,122.54491741023237",5.4660655602994845,In Transit,2026-01-01 02:00:00,5.4660655602994845
RFID_3,Logistics,"PKG:1050 | LOC:10.539635016080613,123.66811295673534 | TEMP:4.4416599739461065C | STATUS:Delayed | TS:2026-01-01 03:00:00",1050,"10.539635016080613,123.66811295673534",4.4416599739461065,Delayed,2026-01-01 03:00:00,4.4416599739461065
RFID_4,Logistics,"PKG:1048 | LOC:10.465063725075503,122.47830568516888 | TEMP:2.5822828478501743C | STATUS:In Transit | TS:2026-01-01 04:00:00",1048,"10.465063725075503,122.47830568516888",2.5822828478501743,In Transit,2026-01-01 04:00:00,2.5822828478501743
RFID_5,Logistics,"PKG:1030 | LOC:11.355078993069949,123.43437373110355 | TEMP:6.2056764810621186C | STATUS:Delayed | TS:2026-01-01 05:00:00",1030,"11.355078993069949,123.43437373110355",6.2056764810621186,Delayed,2026-01-01 05:00:00,6.205676481062119
RFID_6,Logistics,"PKG:1025 | LOC:10.877796610972517,123.46294021019365 | TEMP:7.774785607097465C | STATUS:Delivered | TS:2026-01-01 06:00:00",1025,"10.877796610972517,123.46294021019365",7.774785607097465,Delivered,2026-01-01 06:00:00,7.774785607097465
RFID_7,Logistics,"PKG:1050 | LOC:13.457388005106424,124.96562700704685 | TEMP:5.191734199473666C | STATUS:In Transit | TS:2026-01-01 07:00:00",1050,"13.457388005106424,124.96562700704685",5.191734199473666,In Transit,2026-01-01 07:00:00,5.191734199473666
RFID_8,Logistics,"PKG:1013 | LOC:14.627323841226758,124.18886582305335 | TEMP:5.340050188455926C | STATUS:Delayed | TS:2026-01-01 08:00:00",1013,"14.627323841226758,124.18886582305335",5.340050188455926,Delayed,2026-01-01 08:00:00,5.340050188455926
RFID_9,Logistics,"PKG:1069 | LOC:12.936688144706656,124.0018106118917 | TEMP:6.663358817400176C | STATUS:Delayed | TS:2026-01-01 09:00:00",1069,"12.936688144706656,124.0018106118917",6.663358817400176,Delayed,2026-01-01 09:00:00,6.663358817400176
RFID_10,Logistics,"PKG:1050 | LOC:13.000719365719808,122.78734181427794 | TEMP:2.418849327593401C | STATUS:In Transit | TS:2026-01-01 10:00:00",1050,"13.000719365719808,122.78734181427794",2.418849327593401,In Transit,2026-01-01 10:00:00,2.418849327593401
RFID_11,Logistics,"PKG:1005 | LOC:14.329811387321763,121.5554286081911 | TEMP:4.858836108303309C | STATUS:Delayed | TS:2026-01-01 11:00:00",1005,"14.329811387321763,121.5554286081911",4.858836108303309,Delayed,2026-01-01 11:00:00,4.858836108303309
RFID_12,Logistics,"PKG:1035 | LOC:11.12572573276777,123.24242760875656 | TEMP:7.127719881739342C | STATUS:Delivered | TS:2026-01-01 12:00:00",1035,"11.12572573276777,123.24242760875656",7.127719881739342,Delivered,2026-01-01 12:00:00,7.127719881739342
RFID_13,Logistics,"PKG:1020 | LOC:10.075888564603014,121.90821822850381 | TEMP:6.870662371153596C | STATUS:Delayed | TS:2026-01-01 13:00:00",1020,"10.075888564603014,121.90821822850381",6.870662371153596,Delayed,2026-01-01 13:00:00,6.870662371153596
RFID_14,Logistics,"PKG:1059 | LOC:10.17576474898017,121.5070031375452 | TEMP:7.9952354216000305C | STATUS:Delivered | TS:2026-01-01 14:00:00",1059,"10.17576474898017,121.5070031375452",7.9952354216000305,Delivered,2026-01-01 14:00:00,7.9952354216000305
RFID_15,Logistics,"PKG:1089 | LOC:11.883708295009024,124.20278460084151 | TEMP:7.183069560120822C | STATUS:In Transit | TS:2026-01-01 15:00:00",1089,"11.883708295009024,124.20278460084151",7.183069560120822,In Transit,2026-01-01 15:00:00,7.183069560120822
RFID_16,Logistics,"PKG:1013 | LOC:11.106532533107602,120.42756202626504 | TEMP:2.4326620287333474C | STATUS:Delayed | TS:2026-01-01 16:00:00",1013,"11.106532533107602,120.42756202626504",2.4326620287333474,Delayed,2026-01-01 16:00:00,2.432662028733348
RFID_17,Logistics,"PKG:1087 | LOC:13.875456959764493,123.24962383721439 | TEMP:5.512340139477823C | STATUS:Delivered | TS:2026-01-01 17:00:00",1087,"13.875456959764493,123.24962383721439",5.512340139477823,Delivered,2026-01-01 17:00:00,5.512340139477823
RFID_18,Logistics,"PKG:1020 | LOC:13.183787452785493,121.98437407119059 | TEMP:4.211607450975858C | STATUS:Delayed | TS:2026-01-01 18:00:00",1020,"13.183787452785493,121.98437407119059",4.211607450975858,Delayed,2026-01-01 18:00:00,4.211607450975858
RFID_19,Logistics,"PKG:1024 | LOC:12.665142329159572,121.9355059522186 | TEMP:6.490102910996041C | STATUS:In Transit | TS:2026-01-01 19:00:00",1024,"12.665142329159572,121.9355059522186",6.490102910996041,In Transit,2026-01-01 19:00:00,6.490102910996041
RFID_20,Logistics,"PKG:1044 | LOC:14.022360688520845,120.52514008267177 | TEMP:5.817323764175144C | STATUS:Delayed | TS:2026-01-01 20:00:00",1044,"14.022360688520845,120.52514008267177",5.817323764175144,Delayed,2026-01-01 20:00:00,5.817323764175144
RFID_21,Logistics,"PKG:1009 | LOC:11.060324496137948,122.06833669748838 | TEMP:6.81498442400389C | STATUS:Delivered | TS:2026-01-01 21:00:00",1009,"11.060324496137948,122.06833669748838",6.81498442400389,Delivered,2026-01-01 21:00:00,6.81498442400389
RFID_22,Logistics,"PKG:1049 | LOC:13.648977763187784,123.6890066012609 | TEMP:5.211134582485151C | STATUS:Delayed | TS:2026-01-01 22:00:00",1049,"13.648977763187784,123.6890066012609",5.211134582485151,Delayed,2026-01-01 22:00:00,5.211134582485151
RFID_23,Logistics,"PKG:1064 | LOC:10.324936573158471,122.88008390156114 | TEMP:5.384020763051652C | STATUS:Delivered | TS:2026-01-01 23:00:00",1064,"10.324936573158471,122.88008390156114",5.384020763051652,Delivered,2026-01-01 23:00:00,5.384020763051652
RFID_24,Logistics,"PKG:1099 | LOC:13.053017153041033,124.97226255606108 | TEMP:2.81691483436036C | STATUS:Delivered | TS:2026-01-02 00:00:00",1099,"13.053017153041033,124.97226255606108",2.81691483436036,Delivered,2026-01-02 00:00:00,2.81691483436036
RFID_25,Logistics,"PKG:1027 | LOC:10.72424236219594,124.05160487695848 | TEMP:7.015367022859504C | STATUS:Delayed | TS:2026-01-02 01:00:00",1027,"10.72424236219594,124.05160487695848",7.015367022859504,Delayed,2026-01-02 01:00:00,7.015367022859504
RFID_26,Logistics,"PKG:1074 | LOC:11.585999074536973,121.37388281504622 | TEMP:5.3224245324872195C | STATUS:In Transit | TS:2026-01-02 02:00:00",1074,"11.585999074536973,121.37388281504622",5.3224245324872195,In Transit,2026-01-02 02:00:00,5.32242453248722
RFID_27,Logistics,"PKG:1010 | LOC:14.403807410380821,124.30203798594614 | TEMP:3.094763400457305C | STATUS:Delayed | TS:2026-01-02 03:00:00",1010,"14.403807410380821,124.30203798594614",3.094763400457305,Delayed,2026-01-02 03:00:00,3.094763400457305
RFID_28,Logistics,"PKG:1086 | LOC:14.752981447563819,122.99580938054905 | TEMP:3.999932431988512C | STATUS:Delayed | TS:2026-01-02 04:00:00",1086,"14.752981447563819,122.99580938054905",3.999932431988512,Delayed,2026-01-02 04:00:00,3.999932431988512
RFID_29,Logistics,"PKG:1041 | LOC:13.025997322889133,124.73409070828383 | TEMP:3.595666177552983C | STATUS:Delayed | TS:2026-01-02 05:00:00",1041,"13.025997322889133,124.73409070828383",3.595666177552983,Delayed,2026-01-02 05:00:00,3.595666177552983
RFID_30,Logistics,"PKG:1012 | LOC:10.155507108713426,120.68348501296761 | TEMP:7.735526471739758C | STATUS:Delayed | TS:2026-01-02 06:00:00",1012,"10.155507108713426,120.68348501296761",7.735526471739758,Delayed,2026-01-02 06:00:00,7.735526471739758
RFID_31,Logistics,"PKG:1013 | LOC:14.653557927655921,122.49353486530765 | TEMP:4.844686698060493C | STATUS:Delivered | TS:2026-01-02 07:00:00",1013,"14.653557927655921,122.49353486530765",4.844686698060493,Delivered,2026-01-02 07:00:00,4.844686698060493
RFID_32,Logistics,"PKG:1042 | LOC:10.28874929674911,121.44313852236768 | TEMP:2.8877137266097934C | STATUS:Delivered | TS:2026-01-02 08:00:00",1042,"10.28874929674911,121.44313852236768",2.8877137266097934,Delivered,2026-01-02 08:00:00,2.8877137266097934
RFID_33,Logistics,"PKG:1064 | LOC:14.367884763181507,121.17309015813221 | TEMP:6.666233719466222C | STATUS:Delayed | TS:2026-01-02 09:00:00",1064,"14.367884763181507,121.17309015813221",6.666233719466222,Delayed,2026-01-02 09:00:00,6.666233719466222
